 WARNING:

AD_TERM SHORTAGES and/or RELAXATIONS larger than 0.01 OCCUR!

YYYY	MM	Kswck	RedBlf	Wilkns	SacFea	SacAme	YoloBP	Therm	YubFea	Nimbus	Hst	ANN_RL	MRDO_RL	PosSum	NegSum	
1934	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	53.5	0.0	0.0	61.35	0.0	
1934	12	9.19	0.0	0.0	0.0	0.0	0.0	0.0	190.58	0.0	60.04	0.0	0.0	259.81	0.0	
1935	2	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25	0.0	
1939	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.01	0.0	0.0	0.0	7.01	0.0	
1939	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.86	55.04	0.0	0.0	62.89	0.0	
1939	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.42	0.0	0.0	22.42	0.0	
1944	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.73	0.0	0.0	0.0	7.73	0.0	
1947	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.18	0.0	0.0	0.0	7.18	0.0	
1947	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.75	58.4	0.0	0.0	66.15	0.0	
1949	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.81	0.0	0.0	0.0	7.81	0.0	
1954	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.07	59.16	0.0	0.0	67.23	0.0	
1955	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.7	0.0	0.0	0.0	7.7	0.0	
1959	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.54	0.0	0.0	0.0	7.54	0.0	
1959	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.14	52.63	0.0	0.0	60.77	0.0	
1959	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.53	0.0	0.0	86.53	0.0	
1960	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.88	0.0	0.0	0.0	7.88	0.0	
1960	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.91	0.0	0.0	0.0	7.91	0.0	
1961	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.31	0.0	0.0	0.0	7.31	0.0	
1961	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.94	51.36	0.0	0.0	59.3	0.0	
1961	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.05	51.39	0.0	0.0	58.45	0.0	
1964	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.67	0.0	0.0	0.0	7.67	0.0	
1968	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.85	58.22	0.0	0.0	66.07	0.0	
1972	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84	0.0	0.0	0.0	7.84	0.0	
1977	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.66	0.0	
1977	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	1.48	0.0	
1977	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07	0.0	0.0	0.0	3.07	0.0	
1977	10	8.3	0.0	296.19	0.0	0.0	0.0	0.0	499.8	5.38	47.37	0.0	0.0	857.04	0.0	
1977	11	9.48	0.0	1131.39	0.0	0.0	0.0	4.99	544.38	5.7	45.81	729.63	920.42	3391.79	0.0	
1977	12	0.0	0.0	138.25	0.0	0.0	0.0	8.21	474.99	0.0	45.84	1365.98	1877.89	3911.17	0.0	
1981	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.98	0.0	0.0	0.0	7.98	0.0	
1981	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.86	50.98	0.0	0.0	58.84	0.0	
1985	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.04	72.2	0.0	0.0	80.24	0.0	
1987	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.31	33.78	0.0	0.0	41.09	0.0	
1987	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.52	56.64	0.0	0.0	64.16	0.0	
1987	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.03	0.0	0.0	55.03	0.0	
1988	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.42	0.0	0.0	0.0	5.42	0.0	
1988	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.23	53.35	0.0	0.0	61.58	0.0	
1988	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.07	50.09	0.0	0.0	57.16	0.0	
1989	2	4.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.51	0.0	
1989	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.72	0.0	0.0	0.0	3.72	0.0	
1989	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.84	67.76	0.0	0.0	75.6	0.0	
1990	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.03	52.2	0.0	0.0	60.23	0.0	
1991	2	4.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.66	0.0	
1991	4	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	
1992	1	7.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.65	0.0	
1992	2	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	0.0	
1992	3	2.34	0.0	0.0	0.0	0.0	0.0	0.0	146.41	0.0	0.0	0.0	0.0	148.74	0.0	
1992	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.46	54.79	0.0	0.0	60.25	0.0	
1992	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.87	63.99	0.0	0.0	71.86	0.0	
1992	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.43	59.15	0.0	0.0	66.58	0.0	
1993	1	7.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.54	0.0	0.0	62.75	0.0	
1993	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.88	0.0	0.0	0.0	2.88	0.0	
1998	6	0.0	0.0	505.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	505.9	0.0	
2001	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.55	0.0	0.0	0.0	7.55	0.0	
2001	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.83	13.17	0.0	0.0	21.0	0.0	
